,person_id,name,field_goals_made,field_goals_ast,field_goals_missed,times_ball_lost,times_ball_stolen,fouls,games_played,field_goals_blocked,free_throws_made,free_throws_missed,rebounds,points,three-pointers
2202,1629626.0,Bol Bol,288.0,69.0,234.0,127.0,30.0,111.0,106.0,98.0,85.0,32.0,420.0,175.0,2.0
2203,1629734.0,Kyle Alexander,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,168.0,0.0
2204,1629625.0,Justin Wright-Foreman,7.0,7.0,13.0,3.0,2.0,5.0,3.0,0.0,3.0,1.0,5.0,11.0,0.0
2205,1629719.0,Devontae Cacok,40.0,8.0,25.0,8.0,13.0,25.0,33.0,11.0,9.0,9.0,79.0,217.0,1.0
2206,1630164.0,James Wiseman,289.0,43.0,243.0,91.0,15.0,196.0,66.0,52.0,88.0,47.0,370.0,187.0,1.0
2207,1629617.0,Reggie Perry,67.0,26.0,81.0,24.0,15.0,72.0,34.0,11.0,19.0,7.0,110.0,6139.0,27.0
2208,1629604.0,CJ Elleby,139.0,85.0,214.0,58.0,39.0,131.0,80.0,21.0,68.0,27.0,243.0,174.0,0.0
2209,1629833.0,Keljin Blevins,34.0,22.0,84.0,20.0,13.0,35.0,42.0,1.0,6.0,4.0,51.0,14.0,0.0
2210,1630190.0,Elijah Hughes,56.0,28.0,113.0,23.0,14.0,39.0,45.0,8.0,10.0,3.0,67.0,52.0,0.0
2211,1628962.0,Udoka Azubuike,64.0,6.0,21.0,25.0,6.0,51.0,47.0,20.0,16.0,13.0,137.0,18.0,0.0
2212,1630163.0,LaMelo Ball,1098.0,1163.0,1485.0,503.0,239.0,488.0,158.0,58.0,421.0,90.0,1013.0,41.0,2.0
2213,1630171.0,Isaac Okoro,590.0,322.0,682.0,174.0,165.0,477.0,196.0,73.0,299.0,101.0,552.0,94.0,1.0
2214,1629685.0,Dylan Windler,89.0,61.0,126.0,45.0,33.0,85.0,70.0,12.0,34.0,9.0,186.0,385.0,1.0
2215,1630217.0,Desmond Bane,1036.0,495.0,1195.0,253.0,168.0,423.0,182.0,59.0,309.0,41.0,743.0,136.0,0.0
2216,1630170.0,Devin Vassell,635.0,290.0,845.0,121.0,148.0,263.0,154.0,68.0,189.0,40.0,559.0,139.0,0.0
2217,1630172.0,Patrick Williams,542.0,197.0,592.0,191.0,121.0,267.0,149.0,104.0,190.0,57.0,645.0,198.0,2.0
2218,1630233.0,Nathan Knight,116.0,40.0,128.0,46.0,23.0,99.0,90.0,20.0,109.0,40.0,185.0,71.0,3.0
2219,1630219.0,Skylar Mays,75.0,46.0,83.0,17.0,21.0,22.0,49.0,2.0,30.0,4.0,58.0,448.0,5.0
2220,1630166.0,Deni Avdija,550.0,373.0,758.0,201.0,138.0,496.0,194.0,79.0,231.0,79.0,1047.0,145.0,2.0
2221,1630178.0,Tyrese Maxey,996.0,589.0,1097.0,184.0,115.0,328.0,176.0,48.0,410.0,68.0,458.0,243.0,3.0
